name,license period,license type,link,comment,installed version,author
@fluentui/react,perpetual,MIT,git+https://github.com/microsoft/fluentui.git,7.158.2,7.157.2,n/a
color-diff,perpetual,BSD-3-Clause,git://github.com/markusn/color-diff.git,1.2.0,1.2.0,markusn kael
color-rgba,perpetual,MIT,git+https://github.com/colorjs/color-rgba.git,2.2.3,2.2.3,Dmitry Yv
moment,perpetual,MIT,git+https://github.com/moment/moment.git,2.29.1,2.29.1,Iskren Ivov Chernev
node-vibrant,perpetual,MIT,git+https://github.com/akfish/node-vibrant.git,3.1.6,3.1.6,akfish
office-ui-fabric-react,perpetual,MIT,git+https://github.com/microsoft/fluentui.git,7.158.2,7.157.2,n/a
react-charts,perpetual,MIT,git+https://github.com/react-tools/react-charts.git,2.0.1,2.0.0-beta.7,tannerlinsley
simple-statistics,perpetual,ISC,git://github.com/simple-statistics/simple-statistics.git,7.4.0,7.4.0,Tom MacWright
@babel/core,perpetual,MIT,https://github.com/babel/babel.git,7.12.13,7.12.10,Sebastian McKenzie <sebmck@gmail.com>
@babel/preset-env,perpetual,MIT,https://github.com/babel/babel.git,7.12.13,7.12.11,Henry Zhu <hi@henryzoo.com>
@babel/preset-typescript,perpetual,MIT,https://github.com/babel/babel.git,7.12.13,7.12.7,n/a
@types/chrome,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,0.0.129,0.0.129,n/a
@types/color-convert,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2.0.0,2.0.0,n/a
@types/color-diff,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,1.1.0,1.1.0,n/a
@types/color-rgba,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2.1.0,2.1.0,n/a
@types/image-to-base64,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2.1.0,2.1.0,n/a
@types/jest,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,26.0.20,26.0.20,n/a
@types/react,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,17.0.1,17.0.0,n/a
@types/react-dom,perpetual,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git,17.0.0,17.0.0,n/a
@typescript-eslint/eslint-plugin,perpetual,MIT,git+https://github.com/typescript-eslint/typescript-eslint.git,4.14.2,4.14.1,n/a
@typescript-eslint/parser,perpetual,BSD-2-Clause,git+https://github.com/typescript-eslint/typescript-eslint.git,4.14.2,4.14.1,n/a
babel-jest,perpetual,MIT,git+https://github.com/facebook/jest.git,26.6.3,26.6.3,n/a
babel-plugin-module-resolver,perpetual,MIT,git+https://github.com/tleunen/babel-plugin-module-resolver.git,4.1.0,4.1.0,Tommy Leunen
